hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;typ_mza;nr_mza;gain_per_person_18599;gain_per_person_sia2024;gain_per_person_mza;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;appliance_gains_tief_mza;appliance_gains_mittel_mza;appliance_gains_hoch_mza;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024;usage_start_mza;usage_end_mza
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);Küche (Vorbereitung, Lager);15.0;Küche, Teeküche;12.5;zentrales Wirtschaftsgebäude (z.B. Zentralküche oder -wäscherei in Krankenhaus);87;80;70;33.05408185018699;20.0;30.0;40.0;30.0;40;50.0;138.14812130695236;138.14812130695236;138.14812130695236;10;23;7;18;6.672012487821308;17.533494225924443
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Rechenzentrum;Rechenzentrum;21.0;Serverraum;12.12;Rechenzentrum;88;70;70;9.673544963279163;50.0;150.0;500.0;50.0;100;150.0;834.1191914154605;834.1191914154605;834.1191914154605;0;24;7;18;3.778054085926148;20.772602935177176
Handelsgebäude;Handelsgebäude des Lebensmitteleinzel- und -großhandels;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten);7.0;Lebensmittelverkauf;5.1;Handelsgebäude des Lebensmitteleinzel- und -großhandels;90;70;70;65.89824133710765;-12.0;-10.0;-8.0;-8.0;-10;-12.0;-48.24201139418405;-48.24201139418405;-48.24201139418405;8;20;7;20;7.691070753236984;19.498821477906297
Handelsgebäude;Handelsgebäude des Non-Food-Einzel- und -Großhandels;Einzelhandel/Kaufhaus;6.0;Fachgeschäft;5.2;Handelsgebäude des Non-Food-Einzel- und -Großhandels;91;70;70;69.73431504887677;1.0;2.0;3.0;1.0;2;3.0;-11.248086196956283;-11.248086196956283;-11.248086196956283;8;20;7;20;7.775338830328201;19.628547668267895
Handelsgebäude;Einkaufszentrum, Shopping-Mall;Schalterhalle;5.0;Schalterhalle, Empfang;3.4;Einkaufszentrum, Shopping-Mall;92;70;70;69.73431504887677;1.5;4.0;9.5;1.5;4;9.5;-11.248086196956283;-11.248086196956283;-11.248086196956283;7;18;7;18;7.775338830328201;19.628547668267895
Handelsgebäude;Markthalle;Einzelhandel/Kaufhaus (Lebensmittelabteilung mit Kühlprodukten);7.0;Lebensmittelverkauf;5.1;Markthalle;93;70;70;65.89824133710765;-12.0;-10.0;-8.0;-8.0;-10;-12.0;-48.24201139418405;-48.24201139418405;-48.24201139418405;8;20;7;20;7.691070753236984;19.498821477906297
Handelsgebäude;Messehalle;Messe/Kongress;26.0;Ausstellungshalle;7.3;Messehalle;94;70;70;61.084278055442695;1.0;2.0;3.0;3.0;7;15.0;36.42225001828841;36.42225001828841;36.42225001828841;13;18;7;23;9.404298300554293;19.33923644253597
Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;Einzelhandel/Kaufhaus;6.0;Fachgeschäft;5.2;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;95;70;70;65.4830885128897;1.0;2.0;3.0;1.0;2;3.0;96.51887453182799;96.51887453182799;96.51887453182799;8;20;7;20;7.60947816728912;19.002160155686827
Technikgebäude (Ver- und Entsorgung);Kraftwerk (Gesamtanlage für Energieversorgung);Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Kraftwerk (Gesamtanlage für Energieversorgung);97;70;70;36.04845336985717;4.2;10.0;18.8;4.0;10;19.0;518.7199701168644;518.7199701168644;518.7199701168644;7;18;7;18;5.167719098525408;20.05770291182696
Technikgebäude (Ver- und Entsorgung);Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Gebäude für Lenkung, Steuerung, Überwachung und Nachrichtenübermittlung (z.B. Stellwerk, Leuchtturm);98;70;70;9.79516368045265;4.2;10.0;18.8;4.0;10;19.0;904.8649467870134;904.8649467870134;904.8649467870134;7;18;7;18;3.489155328034488;21.0092954331133
Technikgebäude (Ver- und Entsorgung);Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Gebäude für Energieversorgung (z.B. Fernheizwerk, Tankstelle);99;70;70;36.04845336985717;4.2;10.0;18.8;4.0;10;19.0;518.7199701168644;518.7199701168644;518.7199701168644;7;18;7;18;5.167719098525408;20.05770291182696
Technikgebäude (Ver- und Entsorgung);Gebäude für Wasserversorgung;Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Gebäude für Wasserversorgung;100;70;70;36.04845336985717;4.2;10.0;18.8;4.0;10;19.0;518.7199701168644;518.7199701168644;518.7199701168644;7;18;7;18;5.167719098525408;20.05770291182696
Technikgebäude (Ver- und Entsorgung);Gebäude für Abwasserbehandlung;Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Gebäude für Abwasserbehandlung;101;70;70;36.04845336985717;4.2;10.0;18.8;4.0;10;19.0;518.7199701168644;518.7199701168644;518.7199701168644;7;18;7;18;5.167719098525408;20.05770291182696
Technikgebäude (Ver- und Entsorgung);Gebäude für Abfallbehandlung;Großraumbüro (ab 7 Arbeitsplätze);3.0;Großraumbüro;3.2;Gebäude für Abfallbehandlung;102;70;70;36.04845336985717;4.2;10.0;18.8;4.0;10;19.0;518.7199701168644;518.7199701168644;518.7199701168644;7;18;7;18;5.167719098525408;20.05770291182696
Verkehrsgebäude;Park-/Garagengebäude, Fahrradparkhaus;Parkhaus (öffentliche Nutzung);33.0;Parkhaus;12.9;Park-/Garagengebäude, Fahrradparkhaus;104;70;70;7.912072597634096;0.0;0.0;0.0;0.5;1;2.0;20.636914600550966;20.636914600550966;20.636914600550966;9;24;7;18;2.4412736995624704;21.812980068060284
Verkehrsgebäude;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);Verkehrsfläche (Flur);19.0;Verkehrsfläche;12.1;Halle für sonstige Verkehrsmittel (z.B. für Flugzeuge, Schienenfahrzeuge);105;70;70;7.912072597634096;0.0;0.0;0.0;0.0;0;0.0;20.636914600550966;20.636914600550966;20.636914600550966;7;18;6;19;2.4412736995624704;21.812980068060284
Verkehrsgebäude;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);Lagerhallen, Logistikhallen;41.0;Lagerhalle;10.1;Gebäude zur Pflege von Fahrzeugen (z.B. Waschstraße);106;70;90;36.04845336985717;0.0;0.0;0.0;0.0;0;0.0;518.7199701168644;518.7199701168644;518.7199701168644;0;24;0;24;5.167719098525408;20.05770291182696
Verkehrsgebäude;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);Schalterhalle;5.0;Schalterhalle, Empfang;3.4;Empfangsgebäude (Bahnhof, Busbahnhof, Flughafen, Schiffsterminal);107;70;70;77.62639892803895;1.5;4.0;9.5;1.5;4;9.5;11.116273803008287;11.116273803008287;11.116273803008287;7;18;7;18;7.444448638345254;18.967595825391136
